title	type	genres	releaseYear	imdbId	imdbAverageRating	imdbNumVotes	availableCountries
Star Trek IV: The Voyage Home	movie	Action, Adventure, Comedy	1986.0	tt0092007	7.3	92960.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Star Trek V: The Final Frontier	movie	Action, Adventure, Fantasy	1989.0	tt0098382	5.5	65290.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Star Trek VI: The Undiscovered Country	movie	Action, Adventure, Sci-Fi	1991.0	tt0102975	7.2	82130.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
The Big Blue	movie	Adventure, Drama, Sport	1988.0	tt0095250	7.5	56111.0	DE
Saw	movie	Horror, Mystery, Thriller	2004.0	tt0387564	7.6	480676.0	IN
Blown Away	movie	Action, Crime, Drama	1994.0	tt0109303	6.2	34525.0	CL, CO, MX
Minority Report	movie	Action, Crime, Mystery	2002.0	tt0181689	7.6	593995.0	CA, FR, US
Jackie Brown	movie	Crime, Drama, Thriller	1997.0	tt0119396	7.5	383034.0	BR, CL, CO, MX
Sin City	movie	Crime, Thriller	2005.0	tt0401792	8.0	800836.0	DE
Sin City: A Dame to Kill For	movie	Action, Crime, Thriller	2014.0	tt0458481	6.5	172762.0	CL, CO, IN, MX, US
Star Trek: Generations	movie	Action, Adventure, Mystery	1994.0	tt0111280	6.6	88266.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Amélie	movie	Comedy, Romance	2001.0	tt0211915	8.3	807052.0	DE
Back to the Future Part III	movie	Adventure, Comedy, Sci-Fi	1990.0	tt0099088	7.4	491537.0	AU
Braveheart	movie	Biography, Drama, War	1995.0	tt0112573	8.3	1110566.0	CA, US
Star Trek: First Contact	movie	Action, Adventure, Drama	1996.0	tt0117731	7.6	133745.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Star Trek: Insurrection	movie	Action, Adventure, Sci-Fi	1998.0	tt0120844	6.4	80517.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Star Trek: Nemesis	movie	Action, Adventure, Sci-Fi	2002.0	tt0253754	6.4	85048.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Mean Streets	movie	Crime, Drama, Thriller	1973.0	tt0070379	7.2	122090.0	DE
The Wages of Fear	movie	Adventure, Drama, Thriller	1953.0	tt0046268	8.1	68229.0	GB
North by Northwest	movie	Action, Adventure, Mystery	1959.0	tt0053125	8.3	353239.0	CA
